State_Adamawa,State_Borno,State_Yobe,Domain_central borno,Domain_central yobe,Domain_east borno,Domain_mmc and jere,Domain_northern adamawa,Domain_northern borno,Domain_northern yobe,Domain_southern adamawa,Domain_southern borno,Domain_southern yobe,Population Group_Internally Displaced Persons (IDPs),Population Group_Non-displaced,Population Group_Returnees,Respondent Sex_Female,Respondent Sex_Male,Head of Household Marital Status_Divorced,"Head of Household Marital Status_Married, more than 1 partner","Head of Household Marital Status_Married, only 1 partner",Head of Household Marital Status_Single,Head of Household Marital Status_Widowed,Head of Household - Y/N,Respondent Age,Head of Household Age,Language - English,Language - French,Number of Household Members,Total Household Members 0-6 months old,Total Household Members 6 months to 5 years old,Vulnerability - None,Total Household Members 5 years to 18 years old,Total household members over 18 years old,Languages in HH
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,True,40.0,40.0,False,False,4.0,0.0,0.0,True,2.0,2.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,True,42.0,42.0,False,False,2.0,0.0,0.0,True,0.0,2.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,True,31.0,31.0,False,False,3.0,0.0,0.0,True,1.0,2.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,True,39.0,39.0,False,False,3.0,0.0,0.0,True,1.0,2.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,48.0,48.0,False,False,7.0,0.0,0.0,True,1.0,6.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,False,40.0,55.0,False,False,4.0,0.0,0.0,True,1.0,3.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,60.0,60.0,False,False,6.0,0.0,0.0,True,2.0,4.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,60.0,60.0,False,False,5.0,0.0,0.0,True,1.0,4.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,48.0,48.0,False,False,11.0,0.0,0.0,True,6.0,5.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,50.0,50.0,False,False,5.0,0.0,0.0,True,2.0,3.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,85.0,85.0,False,False,6.0,0.0,0.0,True,2.0,2.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,True,52.0,52.0,True,False,10.0,0.0,0.0,True,4.0,6.0,4.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,True,55.0,55.0,False,False,5.0,0.0,0.0,True,2.0,3.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,True,50.0,50.0,False,False,1.0,0.0,0.0,True,0.0,1.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,40.0,40.0,False,False,3.0,0.0,0.0,True,0.0,3.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,True,50.0,50.0,False,False,11.0,0.0,0.0,True,5.0,4.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,55.0,55.0,False,False,6.0,0.0,0.0,True,2.0,4.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,70.0,70.0,False,False,1.0,0.0,0.0,True,0.0,1.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,54.0,54.0,False,False,4.0,0.0,0.0,False,2.0,2.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,28.0,28.0,False,False,6.0,0.0,0.0,True,1.0,2.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,30.0,30.0,False,False,3.0,0.0,0.0,True,1.0,2.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,True,60.0,60.0,True,False,5.0,0.0,0.0,True,4.0,1.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,52.0,52.0,True,False,4.0,0.0,0.0,True,1.0,3.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,True,35.0,35.0,False,False,1.0,0.0,0.0,True,0.0,1.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,True,45.0,45.0,False,False,7.0,0.0,0.0,True,4.0,3.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,28.0,28.0,False,False,5.0,0.0,0.0,False,2.0,3.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,39.0,39.0,True,False,4.0,0.0,0.0,True,2.0,2.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,True,50.0,50.0,False,False,4.0,0.0,0.0,True,2.0,2.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,30.0,30.0,False,False,4.0,0.0,0.0,True,0.0,4.0,4.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,46.0,46.0,False,False,8.0,0.0,0.0,True,3.0,3.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,False,30.0,35.0,False,False,5.0,0.0,0.0,True,2.0,2.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,55.0,55.0,False,False,7.0,0.0,0.0,True,3.0,3.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,42.0,42.0,False,False,4.0,0.0,0.0,True,1.0,3.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,42.0,42.0,False,False,3.0,0.0,0.0,True,0.0,3.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,65.0,65.0,False,False,5.0,0.0,0.0,True,0.0,5.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,38.0,38.0,True,False,5.0,0.0,0.0,True,2.0,2.0,3.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,True,25.0,25.0,False,False,4.0,0.0,0.0,False,0.0,2.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,True,31.0,31.0,False,False,2.0,0.0,0.0,False,0.0,2.0,2.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,False,19.0,30.0,True,False,4.0,0.0,0.0,False,1.0,2.0,1.0
