,ERL,WASH,Health,Nutrition,Shelter/NFI,Protection,Education,Food
0,3.0,2.0,0.0,0.0,2,0,2.0,3.0
1,2.0,0.0,0.0,0.0,4,0,2.0,6.0
2,2.0,0.0,0.0,0.0,4,0,8.0,6.0
3,0.0,0.0,0.0,0.0,4,0,2.0,3.0
4,0.0,0.0,0.0,0.0,2,0,2.0,8.5
5,5.0,5.0,2.0,0.0,2,0,4.0,6.5
6,2.0,5.0,4.0,0.0,4,0,4.0,6.5
7,7.0,3.0,4.0,0.0,4,0,4.0,6.5
8,7.0,0.0,2.0,0.0,0,4,0.0,2.5
9,5.0,1.0,4.0,0.0,0,0,2.0,2.5
10,2.0,0.0,0.0,0.0,2,0,7.0,3.5
11,2.0,2.0,4.0,0.0,0,0,4.0,2.5
12,4.0,1.0,4.0,0.0,0,0,4.0,8.5
13,2.0,5.0,4.0,0.0,2,0,4.0,7.5
14,0.0,0.0,0.0,0.0,2,0,2.0,6.5
15,7.0,4.0,6.0,0.0,4,0,10.0,5.5
16,7.0,1.0,4.0,0.0,4,0,4.0,4.5
17,5.0,5.0,4.0,0.0,2,0,4.0,6.5
18,0.0,0.0,4.0,0.0,2,2,2.0,7.5
19,7.0,3.0,8.0,0.0,4,0,4.0,4.5
20,0.0,0.0,0.0,0.0,4,0,2.0,3.5
21,2.0,0.0,0.0,0.0,4,0,10.0,7.99
22,2.0,0.0,2.0,0.0,2,0,2.0,2.5
23,3.0,0.0,2.0,0.0,2,0,2.0,4.0
24,4.0,0.0,0.0,0.0,4,4,10.0,7.99
25,3.0,0.0,2.0,0.0,2,0,2.0,3.5
26,0.0,0.0,0.0,0.0,2,0,2.0,3.5
27,2.0,0.0,0.0,0.0,4,2,4.0,7.25
28,0.0,0.0,0.0,0.0,2,0,2.0,5.0
29,4.0,3.0,10.0,0.0,2,0,10.0,3.5
30,5.0,3.0,8.0,0.0,4,2,10.0,6.5
31,2.0,3.0,4.0,0.0,2,0,4.0,5.5
32,0.0,0.0,0.0,0.0,2,0,2.0,6.0
33,0.0,0.0,0.0,0.0,2,0,2.0,3.5
34,2.0,8.0,4.0,0.0,0,0,2.0,6.5
35,4.0,0.0,4.0,0.0,6,0,4.0,2.5
36,3.0,2.0,4.0,0.0,0,4,8.0,3.5
37,3.0,0.0,4.0,0.0,0,0,2.0,3.0
38,0.0,7.0,2.0,0.0,2,0,10.0,6.75
39,4.0,3.0,4.0,0.0,4,0,4.0,8.75
40,2.0,1.0,4.0,0.0,2,0,4.0,3.5
41,5.0,4.0,2.0,0.0,0,4,2.0,4.5
42,0.0,7.0,4.0,0.0,2,0,10.0,6.0
43,5.0,2.0,0.0,0.0,2,2,2.0,3.0
44,2.0,2.0,4.0,0.0,2,0,2.0,7.0
45,5.0,0.0,0.0,0.0,4,4,2.0,6.0
46,5.0,5.0,4.0,0.0,2,0,4.0,3.0
47,5.0,1.0,2.0,0.0,2,0,4.0,3.5
48,2.0,2.0,4.0,0.0,4,0,2.0,3.5
49,7.0,3.0,4.0,0.0,2,0,2.0,8.75
50,7.0,3.0,4.0,0.0,2,0,2.0,5.5
51,5.0,0.0,2.0,0.0,6,2,2.0,7.0
52,4.0,2.0,6.0,0.0,0,0,2.0,9.0
53,2.0,7.0,0.0,0.0,2,2,8.0,7.0
54,5.0,5.0,4.0,0.0,2,0,2.0,5.5
55,0.0,2.0,2.0,0.0,2,0,2.0,5.0
56,2.0,0.0,2.0,0.0,4,0,4.0,4.0
57,0.0,10.0,2.0,0.0,2,0,10.0,7.0
58,4.0,3.0,0.0,0.0,4,2,4.0,5.5
59,7.0,2.0,2.0,0.0,2,0,2.0,6.75
